16/09 08:49:31:169 Command Routing started
16/09 08:49:31:697 Starting process session
16/09 08:49:45:877 Total 0 instances are started
16/09 08:49:45:878 Total 1 instances are added
16/09 08:50:29:853 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:29:856 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:29:859 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:29:943 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:048 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:154 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:268 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:374 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:479 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:585 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:689 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:809 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:30:916 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:020 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:136 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:242 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:352 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:456 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:561 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:658 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:777 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:886 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:31:982 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:087 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:192 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:297 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:401 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:507 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:621 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:726 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:832 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:32:936 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:041 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:146 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:252 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:356 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:461 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:570 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:665 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:769 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:874 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:33:979 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:084 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:197 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:304 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:399 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:513 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:617 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:721 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:838 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:34:937 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:041 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:145 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:249 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:354 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:468 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:572 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:677 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:789 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:35:902 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:005 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:110 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:215 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:319 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:424 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:528 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:633 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:737 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:850 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:36:954 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:059 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:163 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:267 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:370 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:475 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:583 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:687 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:791 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:895 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:37:999 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:106 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:219 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:324 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:427 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:531 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:635 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:739 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:843 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:38:956 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:062 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:161 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:266 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:370 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:483 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:587 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:690 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:793 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:39:896 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:000 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:107 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:221 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:331 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:425 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:539 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:643 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:746 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:850 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:40:954 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:068 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:167 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:270 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:384 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:488 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:592 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:696 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:802 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:41:919 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:024 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:137 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:241 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:345 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:460 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:564 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:678 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:781 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:884 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:42:987 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:100 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:205 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:320 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:414 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:518 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:621 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:734 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:838 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:43:942 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:046 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:157 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:260 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:364 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:468 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:572 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:676 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:780 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:886 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:44:990 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:103 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:205 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:309 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:413 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:527 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:631 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:735 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:838 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:45:942 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:046 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:150 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:264 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:368 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:471 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:575 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:678 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:792 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:46:898 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:000 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:104 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:220 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:323 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:426 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:530 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:634 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:738 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:852 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:47:956 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:060 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:164 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:268 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:375 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:478 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:582 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:686 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:799 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:48:903 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:006 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:114 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:225 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:321 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:424 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:537 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:640 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:744 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:847 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:49:951 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:054 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:167 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:270 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:378 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:482 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:586 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:691 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:794 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:50:897 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:000 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:114 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:217 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:323 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:426 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:530 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:633 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:736 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:51:927 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:027 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:130 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:244 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:350 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:454 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:557 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:661 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:769 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:882 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:52:986 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:090 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:193 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:307 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:411 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:515 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:619 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:723 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:826 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:53:930 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:044 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:147 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:251 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:352 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:465 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:569 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:672 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:775 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:888 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:54:991 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:094 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:197 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:322 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:415 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:522 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:626 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:730 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:833 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:55:937 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:050 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:154 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:257 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:361 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:464 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:568 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:681 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:786 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:892 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:56:996 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:102 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:206 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:310 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:416 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:520 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:633 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:737 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:841 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:57:949 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:052 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:155 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:258 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:363 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:477 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:580 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:683 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:787 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:890 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:58:994 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:108 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:211 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:315 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:424 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:528 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:631 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:735 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:848 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:50:59:951 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:054 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:157 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:272 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:377 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:478 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:582 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:689 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:793 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:00:907 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:010 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:119 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:222 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:325 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:430 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:538 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:641 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:745 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:858 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:01:959 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:062 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:166 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:279 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:392 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:490 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:603 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:707 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:810 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:02:913 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:026 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:130 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:234 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:337 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:451 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:555 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:659 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:761 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:865 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:03:978 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:082 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:186 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:299 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:412 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:516 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:619 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:723 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:828 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:04:931 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:045 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:149 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:252 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:356 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:470 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:575 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:678 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:783 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:887 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:05:990 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:103 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:206 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:309 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:412 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:526 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:629 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:732 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:836 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:06:947 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:060 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:163 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:266 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:369 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:472 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:585 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:688 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:790 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:07:894 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:007 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:111 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:215 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:328 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:431 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:535 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:638 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:741 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:855 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:08:958 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:061 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:164 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:267 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:390 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:493 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:599 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:712 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:815 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:09:919 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:10:032 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:10:136 84922000512 : SMSC - SMSC.SEND_SMS
16/09 08:51:10:240 84922000512 : SMSC - SMSC.SEND_SMS
