18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:08:057 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:071 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:073 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:074 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:076 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:079 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:081 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:082 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:084 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:086 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:088 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:089 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:091 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:093 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:095 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:097 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:099 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:101 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:103 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:105 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:107 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:108 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:110 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:112 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:113 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:115 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:116 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:118 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:120 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:121 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:123 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:125 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:126 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:128 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:130 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:131 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:133 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:134 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:136 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:137 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:138 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:140 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:141 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:142 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:145 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:146 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:147 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:148 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:149 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:150 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:152 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:153 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:155 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:156 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:157 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:158 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:159 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:160 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:161 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:161 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:162 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:163 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:164 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:165 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:166 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:167 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:168 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:169 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:170 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:171 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:172 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:173 84922000514: SMSC - SMSC.SEND_SMS
