23/08 15:24:48:090 Command Logs started
23/08 15:24:48:157 Starting process session
23/08 15:24:48:593 Total 0 instances are started
23/08 15:24:48:593 Total 1 instances are added
23/08 15:24:48:594 Init queue connection pool 1377296688594
23/08 15:52:58:827 Command Logs started
23/08 15:52:58:947 Starting process session
23/08 15:52:59:071 Total 0 instances are started
23/08 15:52:59:076 Total 1 instances are added
23/08 15:53:12:933 0 records were writen to database.
23/08 15:53:22:940 0 records were writen to database.
23/08 15:53:32:950 0 records were writen to database.
23/08 15:53:42:957 0 records were writen to database.
23/08 15:53:52:964 0 records were writen to database.
23/08 15:54:02:966 0 records were writen to database.
23/08 15:54:12:971 0 records were writen to database.
23/08 15:54:22:979 0 records were writen to database.
23/08 15:54:32:982 0 records were writen to database.
23/08 15:54:42:984 0 records were writen to database.
23/08 15:54:52:987 0 records were writen to database.
23/08 15:55:02:993 0 records were writen to database.
23/08 15:55:13:004 0 records were writen to database.
23/08 15:55:23:008 0 records were writen to database.
23/08 15:55:33:013 0 records were writen to database.
23/08 15:55:43:018 0 records were writen to database.
23/08 15:55:53:027 0 records were writen to database.
23/08 15:56:03:029 0 records were writen to database.
23/08 15:56:13:037 0 records were writen to database.
23/08 15:56:23:047 0 records were writen to database.
23/08 15:56:33:052 0 records were writen to database.
23/08 15:56:43:061 0 records were writen to database.
23/08 15:56:53:066 0 records were writen to database.
23/08 15:57:03:074 0 records were writen to database.
23/08 15:57:13:083 0 records were writen to database.
23/08 15:57:23:092 0 records were writen to database.
23/08 15:57:33:101 0 records were writen to database.
23/08 15:57:43:109 0 records were writen to database.
23/08 15:57:53:115 0 records were writen to database.
23/08 15:58:03:126 0 records were writen to database.
23/08 15:58:13:137 0 records were writen to database.
23/08 15:58:23:139 0 records were writen to database.
23/08 15:58:33:149 0 records were writen to database.
23/08 15:58:43:154 0 records were writen to database.
23/08 15:58:53:160 0 records were writen to database.
23/08 15:59:03:170 0 records were writen to database.
23/08 15:59:13:176 0 records were writen to database.
23/08 15:59:23:187 0 records were writen to database.
23/08 15:59:33:195 0 records were writen to database.
23/08 15:59:43:201 0 records were writen to database.
23/08 15:59:53:212 0 records were writen to database.
23/08 16:00:03:214 0 records were writen to database.
23/08 16:00:13:216 0 records were writen to database.
23/08 16:00:23:226 0 records were writen to database.
23/08 16:00:33:228 0 records were writen to database.
23/08 16:00:43:234 0 records were writen to database.
23/08 16:00:53:239 0 records were writen to database.
23/08 16:01:03:245 0 records were writen to database.
23/08 16:01:44:090 Command Logs started
23/08 16:01:44:436 Starting process session
23/08 16:01:44:752 Total 0 instances are started
23/08 16:01:44:757 Total 1 instances are added
23/08 16:01:54:756 0 records were writen to database.
23/08 16:02:04:761 0 records were writen to database.
23/08 16:02:14:771 0 records were writen to database.
23/08 16:02:24:780 0 records were writen to database.
23/08 16:02:34:787 0 records were writen to database.
23/08 16:02:44:793 0 records were writen to database.
23/08 16:02:54:799 0 records were writen to database.
23/08 16:03:04:801 0 records were writen to database.
23/08 16:03:14:811 0 records were writen to database.
23/08 16:03:24:813 0 records were writen to database.
23/08 16:03:34:820 0 records were writen to database.
23/08 16:03:44:826 0 records were writen to database.
23/08 16:03:54:833 0 records were writen to database.
23/08 16:04:04:839 0 records were writen to database.
23/08 16:04:14:847 0 records were writen to database.
23/08 16:04:24:849 0 records were writen to database.
23/08 16:04:34:860 0 records were writen to database.
23/08 16:04:44:869 0 records were writen to database.
23/08 16:04:54:877 0 records were writen to database.
23/08 16:05:32:184 Command Logs started
23/08 16:05:32:305 Starting process session
23/08 16:05:32:525 Total 0 instances are started
23/08 16:05:32:527 Total 1 instances are added
23/08 16:05:42:533 0 records were writen to database.
23/08 16:05:52:535 0 records were writen to database.
23/08 16:06:02:544 0 records were writen to database.
23/08 16:06:12:546 0 records were writen to database.
23/08 16:06:22:557 0 records were writen to database.
23/08 16:06:32:563 0 records were writen to database.
23/08 16:06:42:572 0 records were writen to database.
23/08 16:06:52:583 0 records were writen to database.
23/08 16:07:02:589 0 records were writen to database.
23/08 16:07:12:598 0 records were writen to database.
23/08 16:07:22:607 0 records were writen to database.
23/08 16:07:32:617 0 records were writen to database.
23/08 16:07:42:627 0 records were writen to database.
23/08 16:07:52:630 0 records were writen to database.
23/08 16:08:02:638 0 records were writen to database.
23/08 16:08:12:644 0 records were writen to database.
23/08 16:08:22:649 0 records were writen to database.
23/08 16:08:32:655 0 records were writen to database.
23/08 16:08:42:663 0 records were writen to database.
23/08 16:08:52:666 0 records were writen to database.
23/08 16:09:02:675 0 records were writen to database.
23/08 16:09:12:686 0 records were writen to database.
23/08 16:09:22:693 0 records were writen to database.
23/08 16:09:32:700 0 records were writen to database.
23/08 16:09:42:702 0 records were writen to database.
23/08 16:09:52:709 0 records were writen to database.
23/08 16:10:02:717 0 records were writen to database.
23/08 16:10:12:725 0 records were writen to database.
23/08 16:10:22:728 0 records were writen to database.
23/08 16:10:32:735 0 records were writen to database.
23/08 16:10:42:742 0 records were writen to database.
23/08 16:10:52:750 0 records were writen to database.
23/08 16:11:02:759 0 records were writen to database.
23/08 16:11:12:765 0 records were writen to database.
23/08 16:11:22:771 0 records were writen to database.
23/08 16:11:32:782 0 records were writen to database.
23/08 16:11:42:793 0 records were writen to database.
23/08 16:11:52:798 0 records were writen to database.
23/08 16:12:02:806 0 records were writen to database.
23/08 16:12:12:815 0 records were writen to database.
23/08 16:12:22:820 0 records were writen to database.
23/08 16:12:32:823 0 records were writen to database.
23/08 16:12:42:831 0 records were writen to database.
23/08 16:12:52:835 0 records were writen to database.
23/08 16:13:02:844 0 records were writen to database.
23/08 16:13:12:847 0 records were writen to database.
23/08 16:13:22:849 0 records were writen to database.
23/08 16:13:32:853 0 records were writen to database.
23/08 16:13:42:858 0 records were writen to database.
23/08 16:13:52:864 0 records were writen to database.
23/08 16:14:02:870 0 records were writen to database.
23/08 16:14:12:877 0 records were writen to database.
23/08 16:14:22:886 0 records were writen to database.
23/08 16:14:32:890 0 records were writen to database.
23/08 16:14:42:900 0 records were writen to database.
23/08 16:14:52:906 0 records were writen to database.
23/08 16:15:02:915 0 records were writen to database.
23/08 16:15:12:926 0 records were writen to database.
23/08 16:15:22:934 0 records were writen to database.
