09/09 08:43:19:094 Command Logs started
09/09 08:43:19:219 Starting process session
09/09 08:43:19:394 Total 0 instances are started
09/09 08:43:19:395 Total 1 instances are added
09/09 08:43:40:266 0 records were writen to database.
09/09 08:43:50:273 0 records were writen to database.
09/09 08:44:00:284 0 records were writen to database.
09/09 08:44:10:291 0 records were writen to database.
09/09 08:44:20:302 0 records were writen to database.
09/09 08:44:30:313 0 records were writen to database.
09/09 08:44:40:318 0 records were writen to database.
09/09 08:44:50:335 0 records were writen to database.
09/09 08:45:00:346 0 records were writen to database.
09/09 08:45:10:357 0 records were writen to database.
09/09 08:45:20:366 0 records were writen to database.
09/09 08:45:30:374 0 records were writen to database.
09/09 08:45:40:382 0 records were writen to database.
09/09 08:45:50:392 0 records were writen to database.
09/09 08:46:00:399 0 records were writen to database.
09/09 08:46:10:410 0 records were writen to database.
09/09 08:46:20:412 0 records were writen to database.
09/09 08:46:30:420 0 records were writen to database.
09/09 08:46:40:423 0 records were writen to database.
09/09 08:46:50:425 0 records were writen to database.
09/09 08:47:00:435 0 records were writen to database.
09/09 08:47:10:444 0 records were writen to database.
09/09 08:47:20:449 0 records were writen to database.
09/09 08:47:30:453 0 records were writen to database.
09/09 08:47:40:463 0 records were writen to database.
09/09 08:47:50:471 0 records were writen to database.
09/09 08:48:00:473 0 records were writen to database.
09/09 08:48:10:476 0 records were writen to database.
09/09 08:48:20:485 0 records were writen to database.
09/09 08:48:30:488 0 records were writen to database.
09/09 08:48:40:499 0 records were writen to database.
09/09 08:48:50:509 0 records were writen to database.
09/09 08:49:00:515 0 records were writen to database.
09/09 08:49:10:522 0 records were writen to database.
09/09 08:49:20:533 0 records were writen to database.
09/09 08:49:30:540 0 records were writen to database.
09/09 08:49:56:489 Command Logs started
09/09 08:49:56:696 Starting process session
09/09 08:49:56:834 Total 0 instances are started
09/09 08:49:56:836 Total 1 instances are added
09/09 08:50:06:847 0 records were writen to database.
09/09 08:50:16:882 0 records were writen to database.
09/09 08:50:26:915 0 records were writen to database.
09/09 08:50:36:922 0 records were writen to database.
09/09 08:50:46:929 0 records were writen to database.
09/09 08:50:56:934 0 records were writen to database.
09/09 08:51:06:939 0 records were writen to database.
09/09 08:51:16:945 0 records were writen to database.
09/09 08:51:26:955 0 records were writen to database.
09/09 08:51:36:960 0 records were writen to database.
09/09 08:51:46:964 0 records were writen to database.
09/09 08:51:56:966 0 records were writen to database.
09/09 08:52:06:975 0 records were writen to database.
09/09 08:52:16:984 0 records were writen to database.
09/09 08:52:26:992 0 records were writen to database.
09/09 08:52:36:998 0 records were writen to database.
09/09 08:52:46:999 0 records were writen to database.
09/09 08:52:57:004 0 records were writen to database.
09/09 08:53:07:015 0 records were writen to database.
09/09 08:53:17:017 0 records were writen to database.
09/09 08:53:27:021 0 records were writen to database.
09/09 08:54:08:295 Command Logs started
09/09 08:54:08:320 Starting process session
09/09 08:54:09:313 Total 0 instances are started
09/09 08:54:09:314 Total 1 instances are added
09/09 08:54:19:322 0 records were writen to database.
09/09 08:54:29:330 0 records were writen to database.
09/09 08:54:39:336 0 records were writen to database.
09/09 08:54:49:340 0 records were writen to database.
09/09 08:54:59:344 0 records were writen to database.
09/09 08:55:09:349 0 records were writen to database.
09/09 08:55:19:358 0 records were writen to database.
09/09 08:55:29:367 0 records were writen to database.
09/09 08:55:39:373 0 records were writen to database.
09/09 08:55:49:377 0 records were writen to database.
09/09 08:55:59:383 0 records were writen to database.
09/09 08:56:09:388 0 records were writen to database.
09/09 08:56:19:399 0 records were writen to database.
09/09 08:56:29:410 0 records were writen to database.
09/09 08:56:39:418 0 records were writen to database.
09/09 08:56:49:428 0 records were writen to database.
09/09 08:56:59:430 0 records were writen to database.
09/09 08:57:09:439 0 records were writen to database.
09/09 08:57:19:445 0 records were writen to database.
09/09 08:57:29:451 0 records were writen to database.
09/09 08:57:39:461 0 records were writen to database.
09/09 08:57:49:464 0 records were writen to database.
09/09 08:57:59:470 0 records were writen to database.
09/09 08:58:09:475 0 records were writen to database.
09/09 08:58:19:485 0 records were writen to database.
09/09 08:58:29:488 0 records were writen to database.
09/09 08:58:39:497 0 records were writen to database.
09/09 08:58:49:503 0 records were writen to database.
09/09 08:58:59:510 0 records were writen to database.
09/09 08:59:09:520 0 records were writen to database.
09/09 08:59:48:476 Command Logs started
09/09 08:59:48:580 Starting process session
09/09 08:59:49:873 Total 0 instances are started
09/09 08:59:49:874 Total 1 instances are added
09/09 08:59:59:878 0 records were writen to database.
09/09 09:00:09:882 0 records were writen to database.
09/09 09:00:19:890 0 records were writen to database.
09/09 09:00:29:901 0 records were writen to database.
09/09 09:00:39:906 0 records were writen to database.
09/09 09:00:49:917 0 records were writen to database.
09/09 09:00:59:920 0 records were writen to database.
09/09 09:01:09:924 0 records were writen to database.
09/09 09:01:19:926 0 records were writen to database.
09/09 09:01:29:932 0 records were writen to database.
09/09 09:01:39:937 0 records were writen to database.
09/09 09:01:49:944 0 records were writen to database.
09/09 09:01:59:947 0 records were writen to database.
09/09 09:02:09:952 0 records were writen to database.
