11/09 09:35:50:065 Command Logs started
11/09 09:35:50:180 Starting process session
11/09 09:35:50:571 Total 0 instances are started
11/09 09:35:50:572 Total 1 instances are added
11/09 09:36:30:631 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:30:632 Consumer was closed, reconnect.
11/09 09:36:30:736 Total 0 instances are started
11/09 09:36:30:737 Total 1 instances are added
11/09 09:36:51:808 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:51:809 Consumer was closed, reconnect.
11/09 09:36:51:912 Total 0 instances are started
11/09 09:36:51:913 Total 1 instances are added
11/09 09:37:12:939 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:37:12:939 Consumer was closed, reconnect.
11/09 09:37:13:044 Total 0 instances are started
11/09 09:37:13:045 Total 1 instances are added
11/09 09:38:09:375 Command Logs started
11/09 09:38:09:784 Starting process session
11/09 09:38:09:892 Total 0 instances are started
11/09 09:38:09:893 Total 1 instances are added
11/09 09:38:19:895 0 records were writen to database.
11/09 09:38:29:899 0 records were writen to database.
11/09 09:38:39:903 0 records were writen to database.
11/09 09:38:49:908 0 records were writen to database.
11/09 09:38:59:919 0 records were writen to database.
11/09 09:39:09:928 0 records were writen to database.
11/09 09:39:19:933 0 records were writen to database.
11/09 09:39:29:938 0 records were writen to database.
11/09 09:39:39:948 0 records were writen to database.
11/09 09:39:49:950 0 records were writen to database.
11/09 09:39:59:952 0 records were writen to database.
11/09 09:40:09:953 0 records were writen to database.
11/09 09:40:19:959 0 records were writen to database.
11/09 09:40:29:961 0 records were writen to database.
11/09 09:40:39:969 0 records were writen to database.
11/09 09:40:49:978 0 records were writen to database.
11/09 09:40:59:979 0 records were writen to database.
11/09 09:41:09:987 0 records were writen to database.
11/09 09:41:19:997 0 records were writen to database.
11/09 09:41:30:004 0 records were writen to database.
11/09 09:41:40:015 0 records were writen to database.
11/09 09:41:50:025 0 records were writen to database.
11/09 09:42:00:036 0 records were writen to database.
11/09 09:42:10:041 0 records were writen to database.
11/09 09:42:20:050 0 records were writen to database.
11/09 09:42:30:053 0 records were writen to database.
11/09 09:42:40:062 0 records were writen to database.
11/09 09:42:50:073 0 records were writen to database.
11/09 09:43:00:083 0 records were writen to database.
11/09 09:43:10:094 0 records were writen to database.
11/09 09:43:20:103 0 records were writen to database.
11/09 09:43:30:106 0 records were writen to database.
11/09 09:43:40:109 0 records were writen to database.
11/09 09:43:50:114 0 records were writen to database.
11/09 09:44:00:123 0 records were writen to database.
11/09 09:44:10:127 0 records were writen to database.
11/09 09:44:20:136 0 records were writen to database.
11/09 09:44:30:146 0 records were writen to database.
11/09 09:44:40:157 0 records were writen to database.
11/09 09:44:50:164 0 records were writen to database.
11/09 09:45:00:174 0 records were writen to database.
11/09 09:45:10:178 0 records were writen to database.
11/09 09:45:20:185 0 records were writen to database.
11/09 09:45:30:194 0 records were writen to database.
11/09 09:45:40:200 0 records were writen to database.
11/09 09:45:50:210 0 records were writen to database.
11/09 09:46:00:212 0 records were writen to database.
11/09 09:46:10:215 0 records were writen to database.
11/09 09:46:20:226 0 records were writen to database.
11/09 09:46:30:229 0 records were writen to database.
11/09 09:46:40:236 0 records were writen to database.
11/09 09:46:50:244 0 records were writen to database.
11/09 09:47:00:253 0 records were writen to database.
11/09 09:47:10:261 0 records were writen to database.
11/09 09:47:20:265 0 records were writen to database.
11/09 09:47:30:269 0 records were writen to database.
11/09 09:47:40:271 0 records were writen to database.
11/09 09:47:50:272 0 records were writen to database.
11/09 09:48:00:280 0 records were writen to database.
11/09 09:48:10:283 0 records were writen to database.
11/09 09:48:20:285 0 records were writen to database.
11/09 09:48:30:288 0 records were writen to database.
11/09 09:48:40:296 0 records were writen to database.
11/09 09:48:50:305 0 records were writen to database.
11/09 09:49:00:306 0 records were writen to database.
11/09 09:49:10:317 0 records were writen to database.
11/09 09:49:20:322 0 records were writen to database.
11/09 09:49:30:324 0 records were writen to database.
