29/08 08:41:18:033 OSA Callback started
29/08 08:41:20:344 Starting process session
29/08 08:41:20:889 Total 0 instances are started
29/08 08:41:20:896 Total 1 instances are added
29/08 08:41:22:981 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.31:7676]. - cause: java.net.ConnectException: Connection refused: connect
29/08 08:41:22:982 Consumer was closed, reconnect.
29/08 08:41:31:157 Local queue size: 0
29/08 08:41:41:224 Local queue size: 0
29/08 08:41:51:227 Local queue size: 0
29/08 08:42:01:229 Local queue size: 0
29/08 08:42:11:243 Local queue size: 0
29/08 08:42:21:247 Local queue size: 0
29/08 08:42:31:252 Local queue size: 0
29/08 08:42:41:255 Local queue size: 0
29/08 08:42:51:280 Local queue size: 0
29/08 08:43:01:281 Local queue size: 0
29/08 08:43:11:286 Local queue size: 0
29/08 08:43:21:292 Local queue size: 0
29/08 08:43:31:329 Local queue size: 0
29/08 08:43:41:355 Local queue size: 0
29/08 08:43:51:378 Local queue size: 0
29/08 08:44:01:428 Local queue size: 0
29/08 08:44:11:453 Local queue size: 0
29/08 08:44:21:467 Local queue size: 0
29/08 08:44:31:528 Local queue size: 0
29/08 08:44:41:531 Local queue size: 0
29/08 08:44:51:580 Local queue size: 0
29/08 08:45:01:633 Local queue size: 0
29/08 08:45:11:651 Local queue size: 0
29/08 08:45:21:652 Local queue size: 0
29/08 08:45:31:701 Local queue size: 0
29/08 08:45:41:707 Local queue size: 0
29/08 08:45:51:718 Local queue size: 0
29/08 08:46:01:719 Local queue size: 0
29/08 08:46:11:763 Local queue size: 0
29/08 08:46:21:766 Local queue size: 0
29/08 08:46:31:780 Local queue size: 0
29/08 08:46:41:784 Local queue size: 0
29/08 08:46:51:871 Local queue size: 0
29/08 08:47:01:872 Local queue size: 0
29/08 08:47:11:873 Local queue size: 0
29/08 08:47:21:973 Local queue size: 0
29/08 08:49:05:012 OSA Callback started
29/08 08:49:05:889 Starting process session
29/08 08:49:06:005 Total 0 instances are started
29/08 08:49:06:006 Total 1 instances are added
29/08 08:49:16:161 Local queue size: 0
29/08 08:49:26:251 Local queue size: 0
29/08 08:49:36:270 Local queue size: 0
29/08 08:49:46:277 Local queue size: 0
29/08 08:49:56:309 Local queue size: 0
29/08 08:50:06:388 Local queue size: 0
29/08 08:50:16:411 Local queue size: 0
29/08 08:50:26:430 Local queue size: 0
29/08 08:50:36:471 Local queue size: 0
29/08 08:50:46:486 Local queue size: 0
29/08 08:50:56:493 Local queue size: 0
29/08 08:51:06:535 Local queue size: 0
29/08 08:51:16:561 Local queue size: 0
29/08 08:51:26:562 Local queue size: 0
29/08 08:51:36:564 Local queue size: 0
29/08 08:51:46:566 Local queue size: 0
29/08 08:51:56:648 Local queue size: 0
29/08 08:52:06:655 Local queue size: 0
29/08 08:54:21:977 OSA Callback started
29/08 08:54:25:491 Starting process session
29/08 08:54:25:630 Total 0 instances are started
29/08 08:54:25:632 Total 1 instances are added
29/08 08:54:35:762 Local queue size: 0
29/08 08:54:45:766 Local queue size: 0
29/08 08:54:55:767 Local queue size: 0
29/08 08:55:05:775 Local queue size: 0
29/08 08:55:15:776 Local queue size: 0
29/08 08:55:25:854 Local queue size: 0
29/08 08:55:35:861 Local queue size: 0
29/08 08:55:45:872 Local queue size: 0
29/08 08:55:55:879 Local queue size: 0
29/08 08:56:05:888 Local queue size: 0
29/08 08:56:15:890 Local queue size: 0
29/08 08:56:25:902 Local queue size: 0
29/08 08:56:35:917 Local queue size: 0
29/08 08:56:45:974 Local queue size: 0
29/08 08:56:55:975 Local queue size: 0
29/08 08:57:05:978 Local queue size: 0
29/08 08:57:15:988 Local queue size: 0
29/08 08:57:25:990 Local queue size: 0
29/08 08:57:36:024 Local queue size: 0
29/08 08:57:46:027 Local queue size: 0
29/08 08:57:56:028 Local queue size: 0
29/08 08:58:06:080 Local queue size: 0
29/08 08:58:16:083 Local queue size: 0
29/08 08:58:26:101 Local queue size: 0
29/08 08:58:36:103 Local queue size: 0
29/08 08:58:46:159 Local queue size: 0
29/08 08:58:56:174 Local queue size: 0
29/08 08:59:06:189 Local queue size: 0
29/08 08:59:16:211 Local queue size: 0
29/08 08:59:26:220 Local queue size: 0
29/08 08:59:36:281 Local queue size: 0
29/08 08:59:46:294 Local queue size: 0
29/08 08:59:56:296 Local queue size: 0
29/08 09:00:06:334 Local queue size: 0
29/08 09:00:16:335 Local queue size: 0
29/08 09:00:26:362 Local queue size: 0
29/08 09:00:36:363 Local queue size: 0
29/08 09:00:46:411 Local queue size: 0
29/08 09:00:56:412 Local queue size: 0
29/08 09:01:06:416 Local queue size: 0
29/08 09:01:16:419 Local queue size: 0
29/08 09:01:26:471 Local queue size: 0
29/08 09:01:36:475 Local queue size: 0
29/08 09:01:46:486 Local queue size: 0
29/08 09:01:56:490 Local queue size: 0
29/08 09:02:06:500 Local queue size: 0
29/08 09:02:16:505 Local queue size: 0
29/08 09:03:24:035 OSA Callback started
29/08 09:03:25:648 Starting process session
29/08 09:03:25:769 Total 0 instances are started
29/08 09:03:25:772 Total 1 instances are added
29/08 09:03:35:928 Local queue size: 0
29/08 09:03:45:942 Local queue size: 0
29/08 09:03:55:949 Local queue size: 0
29/08 09:04:05:954 Local queue size: 0
29/08 09:04:15:955 Local queue size: 0
29/08 09:04:25:959 Local queue size: 0
29/08 09:04:35:962 Local queue size: 0
29/08 09:04:45:964 Local queue size: 0
29/08 09:04:55:965 Local queue size: 0
29/08 09:05:05:970 Local queue size: 0
29/08 09:05:15:976 Local queue size: 0
29/08 09:05:26:051 Local queue size: 0
29/08 09:05:36:053 Local queue size: 0
29/08 09:05:46:058 Local queue size: 0
29/08 09:05:56:067 Local queue size: 0
29/08 09:06:06:071 Local queue size: 0
29/08 09:06:16:100 Local queue size: 0
29/08 09:06:26:116 Local queue size: 0
29/08 09:06:36:142 Local queue size: 0
29/08 09:06:46:151 Local queue size: 0
29/08 09:06:56:152 Local queue size: 0
29/08 09:07:06:169 Local queue size: 0
29/08 09:07:16:244 Local queue size: 0
29/08 09:07:26:256 Local queue size: 0
29/08 09:07:36:270 Local queue size: 0
29/08 09:07:46:272 Local queue size: 0
29/08 09:07:56:322 Local queue size: 0
29/08 09:08:06:328 Local queue size: 0
29/08 09:08:16:343 Local queue size: 0
29/08 09:08:26:360 Local queue size: 0
29/08 09:08:36:362 Local queue size: 0
29/08 09:08:46:363 Local queue size: 0
29/08 09:08:56:366 Local queue size: 0
29/08 09:09:06:368 Local queue size: 0
29/08 09:09:16:372 Local queue size: 0
29/08 09:09:26:459 Local queue size: 0
29/08 09:09:36:461 Local queue size: 0
29/08 09:09:46:516 Local queue size: 0
29/08 09:09:56:520 Local queue size: 0
29/08 09:10:06:522 Local queue size: 0
29/08 09:10:16:526 Local queue size: 0
29/08 09:10:26:601 Local queue size: 0
29/08 09:10:36:654 Local queue size: 0
29/08 09:10:46:686 Local queue size: 0
29/08 09:10:56:693 Local queue size: 0
29/08 09:11:06:782 Local queue size: 0
29/08 09:11:16:785 Local queue size: 0
29/08 09:11:26:810 Local queue size: 0
29/08 09:11:36:832 Local queue size: 0
29/08 09:11:46:836 Local queue size: 0
29/08 09:11:56:844 Local queue size: 0
29/08 09:12:06:847 Local queue size: 0
29/08 09:12:16:853 Local queue size: 0
29/08 09:12:26:882 Local queue size: 0
29/08 09:12:36:887 Local queue size: 0
29/08 09:12:46:888 Local queue size: 0
29/08 09:12:56:895 Local queue size: 0
29/08 09:13:06:896 Local queue size: 0
29/08 09:13:16:900 Local queue size: 0
29/08 09:13:26:908 Local queue size: 0
29/08 09:13:36:941 Local queue size: 0
29/08 09:13:46:952 Local queue size: 0
29/08 09:13:56:960 Local queue size: 0
29/08 09:14:06:999 Local queue size: 0
29/08 09:14:17:040 Local queue size: 0
29/08 09:14:27:047 Local queue size: 0
29/08 09:14:37:080 Local queue size: 0
29/08 09:14:47:100 Local queue size: 0
29/08 09:14:57:108 Local queue size: 0
29/08 09:15:07:150 Local queue size: 0
